0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235
S.No.,Stations,Dilshad Garden,Jhilmil,Mansrovar park,Shahdara,Welcome,Seelampur,Shastri Park,Kashmere Gate,Tis Hazari,Pul Bangash,Pratap Nagar,Shastri Nagar,Inder Lok,Kanhaiya Nagar,Keshav Puram,Netaji Subash Place,Kohat Enclave,Pitam Pura,Rohini East,Rohini West,Rithala,Samaypur Badli,Rohini Sector - 18,Haiderpur Badli Mor,Jahangirpuri,Adarsh Nagar,Azadpur,Model Town,GTB Nagar,Vishwavidyalaya,Vidhan Sabha,Civil Lines,Kashmere Gate,Chandhni Chowk,Chawri Bazar,New Delhi,Rajiv Chowk,Patel Chowk,Central Secretariat,Udyog Bhawan,Lok Kalyan Marg,Jorbagh,INA,AIIMS,Green Park,Hauz Khas,Malviya Nagar,Saket,Qutab Minar,Chhattarpur,Sultanpur,Ghitorni,Arjan Garh,Guru Dronacharya,Sikandarpur,MG Road,IFFCO Chowk,Huda City Centre,Noida City Centre,Golf Course,Botanical Garden,Noida Sect 18,Noida Sect 16,Noida Sect 15,New Ashok Nagar,Mayur Vihar Ext,Mayur Vihar-I,Akshardham,Yamuna Bank,Indraprastha,Pragati Maidan,Mandi House,Barakhamba Road,Rajiv Chowk,RK Ashram Marg,Jhandewalan,Karol Bagh,Rajendra Place,Patel Nagar,Shadipur,Kirti Nagar,Moti Nagar,Ramesh Nagar,Rajouri Garden,Tagore Garden,Subash Nagar,Tilak Nagar,Janak Puri East,Janak Puri West,Uttam Nagar East,Uttam Nagar West,Nawada,Dwarka Mor,Dwarka,Dwarka Sector - 14,Dwarka Sector - 13,Dwarka Sector - 12,Dwarka Sector - 11,Dwarka Sector - 10,Dwarka Sector - 9,Dwarka Sector - 8,Dwarka Sector - 21,Vaishali,Kaushambi,Anand Vihar,Karkar Duma,Preet Vihar,Nirman Vihar,Laxmi Nagar,City Park,Bus Stand,Modern Industrial Estate,Tikri Border,Tikri Kalan,Ghevra Metro Station,Mundka Industrial Area,Mundka,Rajdhani Park,Nangloi Rly. Station,Nangloi,Surajmal Stadium,Udyog Nagar,Peera Garhi,Paschim Vihar (West),Paschim Vihar (East),Madi Pur,Shivaji Park,Punjabi Bagh,Ashok Park Main,Inder Lok,Satguru Ram Singh Marg,Kirti Nagar,Kashmere Gate,Lal Quila,Jama Masjid,Delhi Gate,ITO,Mandi House,Janpath,Central Secretariat,Khan Market,JLN,Jangpura,Lajpat Nagar,Moolchand,Kailash Colony,Nehru Place,Kalkaji Mandir,Govindpuri,Okhla,Jasola-Apollo,Sarita Vihar,Mohan Estate,Tuglakabad,Badarpur,Sarai,NHPC Chowk,Mewala Maharajpur,Sector-28,Badkal Mor,Old Faridabad,Neelam Chowk Ajronda,Bata Chowk,Escorts Mujesar,Sant Surdas,Raja Nahar Singh,Botanical Garden,Okhla Bird Sanctuary,Kalindi Kunj,Jasola Vihar,Okhla Vihar,Jamia Milia Islamiya,Sukhdev Vihar,NSIC Okhla,Kalkaji Mandir,Nehru Enclave,Greater Kailash,Chirag Delhi,Panchsheel Park,Hauz Khas,I.I.T,R.K.Puram,Munirka,Vasant Vihar,Shankar Vihar,IGD Airport,Sadar Bazar,Palam,Dashrathpuri,Dabri Mor,Janak Puri West,Majlis Park,Azadpur,Shalimar Bagh,Netaji Subash Place,Shakurpur,Punjabi Bagh West,ESI Hospital,Rajouri Garden,Mayapuri,Naraina Vihar,Delhi Cantt.,Durgabai Deshmukh South Campus,Sir Vishweshwaraiah Moti Bagh,Bhikaji Cama Place,Sarojini Nagar,INA,South Extension,Lajpat Nagar,Trilokpuri,Vinod Nagar East,Vinod Nagar,I.P. Extension,Anand Vihar,Karkar Duma,Karkarduma Court,Krishna Nagar,East Azad Nagar,Welcome,Jafrabad,Maujpur,Gokulpuri,Johri Enclave,Shiv Vihar,Sector 55-56,Sector 54 Chowk,Sector 53-54,Sector 42-43,Phase-I,Sikanderpur,Phase 2,Belvedere Towers,Cyber City,Moulsari Avenue,Phase 3
1,Dilshad Garden,10,10,10,10,10,20,20,20,20,20,30,30,30,30,30,30,30,30,40,40,40,40,40,30,30,30,30,30,30,30,20,20,20,20,20,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,30,20,20,20,20,20,30,50,50,50,50,50,50,40,40,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,20,20,20,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,50,50,50,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,50,50,50,40,40,40,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,30,40,40,30,30,30,20,20,20,20,20,20,10,20,20,20,20,20,70,70,70,70,70,70,70,70,70,70,70
2,Jhilmil,10,10,10,10,10,10,20,20,20,20,20,30,30,30,30,30,30,30,30,40,40,40,40,30,30,30,30,30,30,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,40,40,40,40,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,50,50,50,50,50,40,40,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,20,20,20,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,50,50,50,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,50,50,40,40,40,40,30,30,30,30,30,30,40,40,40,40,40,40,40,40,30,30,30,40,30,30,30,20,20,20,20,20,10,10,20,20,20,20,20,70,70,70,70,70,70,70,70,70,70,70
3,Mansrovar park,10,10,10,10,10,10,20,20,20,20,20,30,30,30,30,30,30,30,30,40,40,40,30,30,30,30,30,30,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,50,50,50,50,50,50,40,40,40,30,30,30,30,30,30,30,20,30,30,30,30,20,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,50,50,50,50,50,40,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,20,20,20,20,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,50,50,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,50,40,40,40,40,30,30,30,30,30,30,40,30,40,40,40,40,40,30,30,30,30,30,30,30,20,20,20,20,20,10,10,10,10,20,20,20,20,70,70,70,70,70,70,70,70,70,70,70
4,Shahdara,10,10,10,10,10,10,10,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,40,40,40,40,40,40,50,50,50,50,50,50,40,40,30,30,30,30,30,30,30,20,20,30,30,30,20,20,20,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,50,50,50,50,40,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,20,20,20,20,20,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,50,30,40,40,40,40,40,40,40,40,40,40,40,40,30,40,40,40,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,40,40,40,40,40,30,30,30,30,30,20,20,20,20,20,20,10,10,10,10,10,10,20,20,20,70,70,70,70,70,70,70,70,70,70,70
5,Welcome,10,10,10,10,10,10,10,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,30,30,30,30,20,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,40,40,40,40,40,40,40,50,50,50,50,50,40,30,30,30,30,30,30,30,30,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,20,20,20,10,20,20,20,50,50,50,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,20,30,30,20,20,20,20,20,20,30,20,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,30,40,40,40,40,40,40,40,40,40,40,40,40,30,30,40,40,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,40,40,40,30,30,30,30,30,30,20,20,20,20,20,10,10,10,10,10,10,10,10,20,20,70,70,70,70,70,70,70,70,70,70,70
6,Seelampur,20,10,10,10,10,10,10,10,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,30,20,20,20,20,20,20,10,20,20,20,20,20,20,20,30,30,30,30,30,30,30,40,40,40,40,40,40,50,50,50,50,50,40,40,30,30,30,30,30,30,30,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,50,50,50,50,50,20,20,20,20,20,20,20,50,50,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,20,20,30,30,10,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,30,40,40,40,40,40,40,40,30,40,40,30,30,30,30,30,40,40,40,40,40,40,40,40,40,30,20,30,30,30,30,30,30,30,30,40,30,30,30,30,30,30,30,20,20,20,20,20,20,10,10,10,10,10,10,20,20,20,70,70,70,70,70,70,70,70,70,70,70
7,Shastri Park,20,20,20,10,10,10,10,10,10,10,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,20,20,20,20,20,10,10,10,10,10,20,20,20,20,20,20,20,30,30,30,30,30,30,40,40,40,40,40,40,40,50,50,50,40,40,40,30,30,30,30,30,30,30,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,50,50,50,50,20,20,20,20,20,20,20,50,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,20,20,20,20,30,10,10,10,20,20,20,20,20,20,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,30,20,20,20,20,30,30,30,30,30,30,40,30,30,30,30,30,30,30,30,30,20,20,20,20,20,10,10,10,10,20,20,20,20,60,60,60,60,60,60,60,60,60,60,60
8,Kashmere Gate,20,20,20,20,20,10,10,10,10,10,10,10,20,20,20,20,20,20,30,30,30,30,30,20,20,20,20,20,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,30,30,30,30,30,30,40,40,40,40,40,40,50,50,40,30,30,30,30,30,30,30,30,20,20,20,20,20,10,10,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,50,30,20,20,20,20,20,20,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,20,20,20,20,20,20,20,20,10,10,10,10,10,20,20,20,20,20,20,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,30,40,40,40,40,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,30,30,20,20,20,20,20,30,30,30,30,30,30,30,30,30,20,20,30,30,30,30,30,30,20,20,20,20,20,20,20,20,20,20,20,60,60,60,60,60,60,60,60,60,60,60
